INFO 2025-01-25 11:28:06,789 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-25 11:28:06,791 autoreload Waiting for apps ready_event.
DEBUG 2025-01-25 11:28:07,169 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-25 11:28:07,248 autoreload Watching dir C:\TransLogix\Solution files\myproject\backend files\TransLogix_djangoProject\templates with glob **/*.
DEBUG 2025-01-25 11:28:07,249 autoreload Watching dir C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2025-01-25 11:28:07,249 autoreload Watching dir C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\site-packages\import_export\templates with glob **/*.
DEBUG 2025-01-25 11:28:07,251 autoreload Watching dir C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-01-25 11:28:07,251 autoreload Watching dir C:\TransLogix\Solution files\myproject\backend files\TransLogix_djangoProject\locale with glob **/*.mo.
DEBUG 2025-01-25 11:28:07,252 autoreload Watching dir C:\TransLogix\Solution files\myproject\backend files\TransLogix_djangoProject\TransLogix_djangoProject\locale with glob **/*.mo.
DEBUG 2025-01-25 11:28:07,253 autoreload Watching dir C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-01-25 11:28:07,254 autoreload Watching dir C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-01-25 11:28:07,254 autoreload Watching dir C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-01-25 11:28:07,255 autoreload Watching dir C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\site-packages\import_export\locale with glob **/*.mo.
DEBUG 2025-01-25 11:28:07,255 autoreload Watching dir C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2025-01-25 11:28:07,377 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2025-01-25 11:28:07,380 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2025-01-25 11:28:07,386 utils (0.000) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2025-01-25 11:28:07,392 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2025-01-25 11:28:07,725 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\workbook\web.py first seen with mtime 1663528062.3028264
DEBUG 2025-01-25 11:28:07,726 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\events.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,727 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\certifi\core.py first seen with mtime 1699698930.9657443
DEBUG 2025-01-25 11:28:07,728 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\docutils\utils\punctuation_chars.py first seen with mtime 1637001714.756931
DEBUG 2025-01-25 11:28:07,728 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\transports.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,729 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\PIL\_util.py first seen with mtime 1709116309.8039243
DEBUG 2025-01-25 11:28:07,730 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\pivot\cache.py first seen with mtime 1663528062.2549572
DEBUG 2025-01-25 11:28:07,731 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\chartsheet\publish.py first seen with mtime 1663528062.1961157
DEBUG 2025-01-25 11:28:07,732 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1709115476.0716445
DEBUG 2025-01-25 11:28:07,732 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\functional.py first seen with mtime 1709115477.395646
DEBUG 2025-01-25 11:28:07,733 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\worksheet\header_footer.py first seen with mtime 1663528062.3247676
DEBUG 2025-01-25 11:28:07,734 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\charset_normalizer\api.py first seen with mtime 1699698930.7314196
DEBUG 2025-01-25 11:28:07,734 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\transaction.py first seen with mtime 1709115476.4146452
DEBUG 2025-01-25 11:28:07,735 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\forms\formsets.py first seen with mtime 1709115476.7916775
DEBUG 2025-01-25 11:28:07,735 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\import_export\_version.py first seen with mtime 1736069121.8433774
DEBUG 2025-01-25 11:28:07,736 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\wsgiref\headers.py first seen with mtime 1633367526.0
DEBUG 2025-01-25 11:28:07,736 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\windows_events.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,737 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1709115476.4636452
DEBUG 2025-01-25 11:28:07,738 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\tablib\formats\_html.py first seen with mtime 1736069121.248716
DEBUG 2025-01-25 11:28:07,738 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\xml\constants.py first seen with mtime 1663528062.341722
DEBUG 2025-01-25 11:28:07,739 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\numpy\compat\__init__.py first seen with mtime 1667224336.435755
DEBUG 2025-01-25 11:28:07,739 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1709115476.7426438
DEBUG 2025-01-25 11:28:07,740 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\numpy\_distributor_init.py first seen with mtime 1667224336.0492013
DEBUG 2025-01-25 11:28:07,740 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\descriptors\excel.py first seen with mtime 1663528062.2140675
DEBUG 2025-01-25 11:28:07,741 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\datetime.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,741 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1709115476.1126454
DEBUG 2025-01-25 11:28:07,742 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\markdown\extensions\__init__.py first seen with mtime 1683063892.0559485
DEBUG 2025-01-25 11:28:07,742 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\worksheet\_writer.py first seen with mtime 1663528062.3118033
DEBUG 2025-01-25 11:28:07,743 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\jinja2\parser.py first seen with mtime 1635689254.2627661
DEBUG 2025-01-25 11:28:07,743 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\decorators.py first seen with mtime 1709115477.363645
DEBUG 2025-01-25 11:28:07,744 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\comments\__init__.py first seen with mtime 1663528062.1991081
DEBUG 2025-01-25 11:28:07,744 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework_simplejwt\tokens.py first seen with mtime 1736040602.1568713
DEBUG 2025-01-25 11:28:07,745 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\enum.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,745 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\chartsheet\views.py first seen with mtime 1663528062.1981113
DEBUG 2025-01-25 11:28:07,745 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\numpy\lib\arraypad.py first seen with mtime 1667224337.1987388
DEBUG 2025-01-25 11:28:07,746 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\worksheet\related.py first seen with mtime 1663528062.3317492
DEBUG 2025-01-25 11:28:07,750 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\chardet\euctwprober.py first seen with mtime 1637001716.319061
DEBUG 2025-01-25 11:28:07,750 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\iterators.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,751 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\jinja2\idtracking.py first seen with mtime 1635689254.2627661
DEBUG 2025-01-25 11:28:07,752 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1709115475.1446433
DEBUG 2025-01-25 11:28:07,752 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\_collections_abc.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,753 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1736040381.4528468
DEBUG 2025-01-25 11:28:07,753 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\tempfile.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,754 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1709115475.1406422
DEBUG 2025-01-25 11:28:07,754 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\os.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,754 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\workbook\external_link\__init__.py first seen with mtime 1663528062.3048303
DEBUG 2025-01-25 11:28:07,755 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\csv.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,755 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\packaging\extended.py first seen with mtime 1663528062.2479744
DEBUG 2025-01-25 11:28:07,756 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\tasks.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,756 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1699698930.215884
DEBUG 2025-01-25 11:28:07,756 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1736040381.3348489
DEBUG 2025-01-25 11:28:07,757 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\chartsheet\properties.py first seen with mtime 1663528062.1931238
DEBUG 2025-01-25 11:28:07,757 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\checks.py first seen with mtime 1736040381.3208573
DEBUG 2025-01-25 11:28:07,758 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1709115477.5016448
DEBUG 2025-01-25 11:28:07,758 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1699698930.2471259
DEBUG 2025-01-25 11:28:07,759 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\pivot\__init__.py first seen with mtime 1663528062.2529614
DEBUG 2025-01-25 11:28:07,759 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\graphlib.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,760 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\stringprep.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,760 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\dates.py first seen with mtime 1709115477.3556476
DEBUG 2025-01-25 11:28:07,761 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\docutils\parsers\__init__.py first seen with mtime 1637001714.6788242
DEBUG 2025-01-25 11:28:07,761 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\docutils\statemachine.py first seen with mtime 1637001714.6475818
DEBUG 2025-01-25 11:28:07,765 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admindocs\__init__.py first seen with mtime 1709115472.8338506
DEBUG 2025-01-25 11:28:07,766 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\markdown\blockparser.py first seen with mtime 1683063892.0426364
DEBUG 2025-01-25 11:28:07,767 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\workbook\workbook.py first seen with mtime 1663528062.3038242
DEBUG 2025-01-25 11:28:07,767 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1709115476.125659
DEBUG 2025-01-25 11:28:07,768 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\connection.py first seen with mtime 1699698930.215884
DEBUG 2025-01-25 11:28:07,768 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\uu.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,769 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\importlib\metadata\_meta.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,770 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\chartsheet\protection.py first seen with mtime 1663528062.1941211
DEBUG 2025-01-25 11:28:07,771 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1709115476.4106438
DEBUG 2025-01-25 11:28:07,771 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1709115472.1128583
DEBUG 2025-01-25 11:28:07,772 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\importlib\machinery.py first seen with mtime 1633367524.0
DEBUG 2025-01-25 11:28:07,772 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\rest_framework\reverse.py first seen with mtime 1736040381.343826
DEBUG 2025-01-25 11:28:07,772 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1709115472.838853
DEBUG 2025-01-25 11:28:07,773 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\chardet\escsm.py first seen with mtime 1637001716.319061
DEBUG 2025-01-25 11:28:07,773 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1709115476.3986444
DEBUG 2025-01-25 11:28:07,774 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1709115477.5036461
DEBUG 2025-01-25 11:28:07,775 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\openpyxl\utils\protection.py first seen with mtime 1663528062.2898617
DEBUG 2025-01-25 11:28:07,775 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\middleware\security.py first seen with mtime 1709115477.082645
